Wavelength (nm),n,k
206.6,0.5039997882,0.8703864105
210.89508319,0.554820958,0.9655788748
215.279458439,0.6118689316,1.0402424751
219.754982075,0.6704392501,1.0963412968
224.323549012,0.7265409622,1.135840896
228.987093564,0.7765282846,1.1610020528
233.747590255,0.8169353672,1.1746365062
238.607054657,0.8443302844,1.1804593425
243.567544248,0.8551693392,1.1839062714
248.631159276,0.8463312836,1.1942188064
253.800043655,0.8194217466,1.2278562606
259.076385867,0.7932903497,1.3061164285
264.462419893,0.8124064983,1.4314516991
269.960426156,0.9178746242,1.5608011454
275.572732488,1.1045240356,1.6260060492
281.301715116,1.3192280026,1.5793108973
287.149799665,1.4907198771,1.4181689849
293.119462189,1.5628189869,1.1823642914
299.213230217,1.5142284621,0.9321802101
305.433683824,1.357892978,0.7227759081
311.783456723,1.1252243269,0.5898898005
318.265237381,0.8501473601,0.5544463527
324.881770154,0.5787437344,0.6366111548
331.635856454,0.3894304673,0.809939685
338.530355932,0.2901538372,0.9883664921
345.568187689,0.2362463009,1.1429972155
352.752331512,0.2034559326,1.2775465077
360.085829136,0.1819110292,1.3979232011
367.571785533,0.1671453209,1.5082153937
375.213370223,0.156810411,1.6111081905
383.013818621,0.1495173105,1.7084352934
390.976433402,0.1443782316,1.8015106519
399.104585903,0.1407970528,1.8913146404
407.401717548,0.1383604084,1.9786022295
415.871341306,0.1367753528,2.0639693488
424.51704318,0.1358311214,2.1478957703
433.342483722,0.1353744586,2.2307740881
442.351399584,0.1352930954,2.3129300536
451.547605104,0.1355043735,2.3946372971
460.934993913,0.1359472502,2.4761282634
470.517540592,0.1365765927,2.5576025057
480.299302349,0.1373590603,2.6392330836
490.28442074,0.1382701059,2.721171565
500.47712342,0.1392917786,2.8035519805
510.881725935,0.1404111045,2.886493978
521.502633549,0.1416188869,2.9701053588
532.344343107,0.1429088157,3.0544841303
543.411444943,0.144276802,3.1397201775
554.708624818,0.1457204792,3.2258966316
566.24066591,0.1472388294,3.3130909974
578.012450835,0.1488319,3.4013760862
590.028963715,0.1505005903,3.4908207924
602.295292289,0.1522464891,3.5814907428
614.816630068,0.154071751,3.6734488432
627.598278532,0.1559790028,3.7667557403
640.645649374,0.1579712714,3.8614702148
653.964266795,0.1600519295,3.9576495168
667.559769839,0.1622246545,4.0553496551
681.437914784,0.1644933977,4.154625646
695.604577575,0.1668623613,4.2555317312
710.065756315,0.1693359821,4.3581215664
724.827573806,0.1719189205,4.4624483888
739.896280135,0.1746160532,4.5685651635
755.278255329,0.1774324693,4.6765247151
770.980012047,0.1803734696,4.7863798438
787.008198346,0.1834445675,4.898183431
803.369600489,0.1866514926,5.0119885336
820.071145824,0.1900001952,5.1278484701
837.119905712,0.1934968528,5.2458168989
854.523098523,0.1971478774,5.3659478905
872.288092693,0.2009599244,5.4882959937
890.422409845,0.2049399017,5.6129162967
908.933727968,0.2090949806,5.7398644847
927.829884674,0.2134326065,5.869196893
