wavelength,n,k
241.143356,2.380708,1.060007
242.734009,2.389299,1.044698
244.324661,2.397475,1.029558
245.915359,2.40525,1.014587
247.506058,2.412638,0.999789
249.096802,2.419654,0.985164
250.687546,2.426309,0.970716
252.27832,2.432616,0.956444
253.86911,2.438586,0.942351
255.45993,2.444233,0.928436
257.050751,2.449566,0.914702
258.641602,2.454596,0.901148
260.232483,2.459334,0.887776
261.823364,2.46379,0.874584
263.414276,2.467974,0.861574
265.005188,2.471895,0.848746
266.59613,2.475563,0.8361
268.187103,2.478985,0.823634
269.778076,2.482171,0.81135
271.36908,2.485129,0.799247
272.960083,2.487867,0.787324
274.551117,2.490392,0.775581
276.142151,2.492713,0.764017
277.733215,2.494837,0.752632
279.32431,2.49677,0.741425
280.915405,2.49852,0.730396
282.5065,2.500093,0.719542
284.097626,2.501496,0.708865
285.688782,2.502736,0.698362
287.279907,2.503817,0.688032
288.871063,2.504747,0.677876
290.46225,2.505532,0.667891
292.053436,2.506176,0.658077
293.644653,2.506685,0.648433
295.23587,2.507066,0.638957
296.827087,2.507322,0.629649
298.418335,2.507459,0.620507
300.009583,2.507483,0.61153
301.600861,2.507397,0.602717
303.192139,2.507207,0.594067
304.783417,2.506918,0.585579
306.374725,2.506534,0.57725
307.966034,2.506059,0.569081
309.557373,2.505497,0.56107
311.148682,2.504854,0.553216
312.740051,2.504133,0.545517
314.33136,2.503337,0.537972
315.92276,2.502472,0.53058
317.514099,2.501542,0.523339
319.105499,2.500549,0.516249
320.696869,2.499497,0.509307
322.288269,2.498392,0.502514
323.879669,2.497235,0.495866
325.471069,2.496031,0.489364
327.0625,2.494783,0.483006
328.6539,2.493495,0.47679
330.245331,2.492171,0.470715
331.836792,2.490813,0.464779
333.428223,2.489424,0.458983
335.019684,2.48801,0.453323
336.611145,2.486572,0.4478
338.202576,2.485113,0.442411
339.794037,2.483639,0.437155
341.385529,2.48215,0.432031
342.97699,2.480652,0.427037
344.568481,2.479146,0.422173
346.159973,2.477637,0.417436
347.751434,2.476128,0.412826
349.342957,2.474621,0.408341
350.934418,2.473121,0.403979
352.52594,2.47163,0.39974
354.117401,2.470152,0.395621
355.708923,2.46869,0.391621
357.300415,2.467248,0.387739
358.891907,2.46583,0.383973
360.483429,2.464439,0.380322
362.074921,2.463079,0.376783
363.666443,2.461753,0.373354
365.257965,2.460465,0.370035
366.849457,2.459221,0.366822
368.440979,2.458022,0.363714
370.032471,2.456874,0.360707
371.623962,2.455782,0.3578
373.215485,2.454748,0.354989
374.806976,2.453779,0.352272
376.398499,2.452877,0.349644
377.98999,2.452048,0.347102
379.581482,2.451297,0.344642
381.173004,2.450627,0.34226
382.764465,2.450043,0.33995
384.355988,2.449551,0.337707
385.947449,2.449152,0.335525
387.538971,2.448853,0.333399
389.130432,2.448657,0.331321
390.721924,2.448567,0.329283
392.313416,2.448586,0.32728
393.904846,2.448718,0.325301
395.496338,2.448963,0.323339
397.087799,2.449325,0.321385
398.67926,2.449803,0.319429
400.270691,2.450398,0.317461
401.862122,2.451111,0.315472
403.453583,2.451939,0.313452
405.045013,2.45288,0.31139
406.636414,2.453932,0.309276
408.227844,2.455091,0.307101
409.819275,2.456352,0.304853
411.410706,2.457709,0.302523
413.002045,2.459157,0.300101
414.593445,2.460686,0.29758
416.184814,2.462291,0.294949
417.776215,2.463961,0.292202
419.367584,2.465686,0.289331
420.958923,2.467457,0.28633
422.550232,2.469262,0.283194
424.141602,2.47109,0.279917
425.73291,2.472929,0.276497
427.324219,2.474766,0.272931
428.915527,2.47659,0.269217
430.506836,2.478387,0.265354
432.098083,2.480146,0.261345
433.689362,2.481853,0.25719
435.280609,2.483497,0.252892
436.871887,2.485065,0.248454
438.463135,2.486546,0.243883
440.054352,2.487929,0.239182
441.645569,2.489203,0.23436
443.236725,2.490359,0.229422
444.827942,2.491387,0.224378
446.419098,2.492279,0.219237
448.010254,2.493027,0.214006
449.601379,2.493625,0.208697
451.192535,2.494066,0.20332
452.7836,2.494346,0.197885
454.374695,2.494461,0.192403
455.965759,2.494406,0.186886
457.556824,2.494181,0.181343
459.147888,2.493784,0.175787
460.738922,2.493214,0.170229
462.329987,2.492471,0.164679
463.920959,2.491557,0.159148
465.511963,2.490473,0.153646
467.102875,2.489223,0.148185
