wavelength,n,k
301.41754,1.5393475,0.00000655
303.01373,1.5388672,0.0000059
304.61,1.5383986,0.00000531
306.20624,1.5379409,0.00000477
307.80255,1.5374932,0.00000429
309.39886,1.5370549,0.00000385
310.99524,1.5366249,0.00000346
312.5916,1.5362023,0.00000311
314.18805,1.5357865,0.0000028
315.7845,1.5353765,0.00000252
317.38095,1.5349717,0.00000227
318.97748,1.5345715,0.00000204
320.57397,1.5341754,0.00000184
322.17053,1.5337826,0.00000166
323.76712,1.5333928,0.0000015
325.3637,1.5330058,0.00000135
326.96036,1.5326219,0.00000122
328.557,1.5322407,0.0000011
330.1537,1.5318627,0.000000993
331.7504,1.5314878,0.000000896
333.3471,1.5311162,0.000000809
334.94388,1.5307482,0.00000073
336.54065,1.5303841,0.00000066
338.13745,1.5300242,0.000000597
339.73428,1.5296687,0.000000541
341.33112,1.5293179,0.000000491
342.92798,1.528972,0.000000447
344.52487,1.5286312,0.000000408
346.12177,1.5282958,0.000000374
347.71872,1.5279658,0.000000344
349.31567,1.5276414,0.000000318
350.91266,1.5273229,0.000000296
352.5096,1.52701,0.000000276
354.10663,1.5267028,0.000000259
355.70367,1.5264012,0.000000245
357.30072,1.5261049,0.000000233
358.89777,1.525814,0.000000223
360.49484,1.5255284,0.000000215
362.09198,1.5252479,0.000000208
363.68906,1.5249722,0.000000203
365.2862,1.5247012,0.000000199
366.88336,1.5244347,0.000000196
368.48053,1.5241723,0.000000194
370.0777,1.523914,0.000000193
371.6749,1.5236596,0.000000192
373.27213,1.5234088,0.000000192
374.86932,1.5231614,0.000000193
376.46658,1.5229174,0.000000194
378.06384,1.5226766,0.000000195
379.6611,1.5224388,0.000000197
381.25836,1.5222038,0.000000198
382.85568,1.5219716,0.0000002
384.45297,1.5217419,0.000000201
386.0503,1.5215149,0.000000202
387.64764,1.5212903,0.000000203
389.24496,1.5210681,0.000000205
390.84235,1.5208484,0.000000205
392.4397,1.520631,0.000000206
394.03705,1.5204159,0.000000207
395.63446,1.520203,0.000000207
397.23184,1.5199925,0.000000207
398.82922,1.519784,0.000000207
400.42664,1.5195779,0.000000207
402.02405,1.519374,0.000000207
403.6215,1.5191723,0.000000206
405.21893,1.518973,0.000000206
406.81635,1.5187758,0.000000205
408.4138,1.5185809,0.000000204
410.01123,1.5183882,0.000000204
411.6087,1.5181978,0.000000203
413.2062,1.5180095,0.000000202
414.80365,1.5178236,0.000000202
416.40112,1.5176399,0.000000201
417.9986,1.5174583,0.0000002
419.5961,1.5172789,0.000000199
421.19354,1.5171019,0.000000199
422.79108,1.5169269,0.000000198
424.38858,1.5167542,0.000000198
425.98602,1.5165834,0.000000198
427.58356,1.5164149,0.000000197
429.18106,1.5162483,0.000000197
430.77856,1.5160838,0.000000197
432.37607,1.5159214,0.000000197
433.97357,1.5157608,0.000000197
435.57104,1.5156021,0.000000197
437.16855,1.5154452,0.000000197
438.76605,1.5152904,0.000000197
440.3636,1.5151372,0.000000198
441.9611,1.5149857,0.000000198
443.5586,1.514836,0.000000198
445.1561,1.5146878,0.000000199
446.75357,1.5145413,0.000000199
448.35107,1.5143962,0.0000002
449.94858,1.5142527,0.0000002
451.54605,1.5141106,0.000000201
453.14355,1.5139698,0.000000202
454.74103,1.5138304,0.000000202
456.33853,1.5136924,0.000000203
457.93597,1.5135556,0.000000204
459.53345,1.5134201,0.000000204
461.13092,1.5132859,0.000000205
462.72836,1.5131527,0.000000205
464.32584,1.5130206,0.000000206
465.92328,1.5128897,0.000000207
467.5207,1.5127599,0.000000207
469.1181,1.512631,0.000000208
470.71558,1.5125033,0.000000208
472.313,1.5123764,0.000000209
473.9104,1.5122505,0.000000209
475.50775,1.5121257,0.00000021
477.10516,1.5120018,0.00000021
478.70255,1.5118788,0.00000021
480.2999,1.5117568,0.000000211
481.89728,1.5116357,0.000000211
483.49463,1.5115155,0.000000211
485.09195,1.5113962,0.000000212
486.6893,1.5112778,0.000000212
488.28662,1.5111604,0.000000212
489.88388,1.5110437,0.000000212
491.4812,1.5109279,0.000000212
493.07846,1.5108131,0.000000213
494.67572,1.5106992,0.000000213
496.273,1.5105861,0.000000213
497.8702,1.5104741,0.000000213
499.46744,1.5103629,0.000000213
501.06464,1.5102526,0.000000213
502.66187,1.5101433,0.000000214
504.25903,1.5100349,0.000000214
505.8562,1.5099275,0.000000214
507.4533,1.5098209,0.000000214
509.05048,1.5097154,0.000000214
510.6476,1.5096108,0.000000215
512.2447,1.5095071,0.000000215
513.84174,1.5094044,0.000000215
515.43884,1.5093026,0.000000216
517.0359,1.5092019,0.000000216
518.63293,1.509102,0.000000217
520.22986,1.5090032,0.000000217
521.82684,1.5089053,0.000000218
523.4238,1.5088083,0.000000218
525.0208,1.5087123,0.000000219
526.61774,1.5086173,0.000000219
528.2146,1.5085232,0.00000022
529.8115,1.5084301,0.000000221
531.4083,1.508338,0.000000222
533.0052,1.5082468,0.000000222
534.602,1.5081565,0.000000223
536.19885,1.5080673,0.000000224
537.79553,1.5079788,0.000000225
539.39233,1.5078913,0.000000226
540.9891,1.5078046,0.000000228
542.58575,1.5077188,0.000000229
544.18243,1.5076339,0.00000023
545.77905,1.5075499,0.000000231
547.3757,1.5074667,0.000000232
548.9723,1.5073842,0.000000234
550.5689,1.5073026,0.000000235
552.1654,1.5072218,0.000000237
553.7619,1.5071418,0.000000238
555.35846,1.5070626,0.00000024
556.9549,1.5069841,0.000000241
558.55133,1.5069064,0.000000243
560.14777,1.5068294,0.000000245
561.74414,1.506753,0.000000246
563.34045,1.5066773,0.000000248
564.9368,1.5066023,0.00000025
566.5331,1.5065278,0.000000252
568.12933,1.506454,0.000000253
569.7256,1.5063808,0.000000255
571.3218,1.5063081,0.000000257
572.91797,1.5062358,0.000000259
574.5141,1.5061642,0.000000261
576.1102,1.5060931,0.000000263
577.70624,1.5060225,0.000000265
579.3023,1.5059522,0.000000267
580.8983,1.5058825,0.000000269
582.49426,1.5058132,0.000000271
584.0902,1.5057443,0.000000273
585.68616,1.5056759,0.000000275
587.28204,1.5056078,0.000000277
588.8778,1.5055401,0.000000279
590.47363,1.5054728,0.000000281
592.06946,1.5054057,0.000000283
593.66516,1.505339,0.000000285
595.26086,1.5052726,0.000000287
596.8565,1.5052066,0.000000289
598.45215,1.5051408,0.000000291
600.0477,1.5050753,0.000000293
601.64325,1.5050101,0.000000295
603.2388,1.5049452,0.000000297
604.8342,1.5048804,0.000000299
606.4296,1.5048159,0.000000301
608.025,1.5047517,0.000000303
609.6204,1.5046875,0.000000305
611.2157,1.5046238,0.000000307
