Wavelength (nm),n,k
301.41754,1.9471372,0.40027502
303.01373,1.9505177,0.39978832
304.61,1.9539206,0.39929658
306.20624,1.9573468,0.39879975
307.80255,1.9607967,0.3982978
309.39886,1.9642706,0.39779076
310.99524,1.9677688,0.3972786
312.5916,1.9712913,0.39676145
314.18805,1.9748379,0.3962394
315.7845,1.9784082,0.39571264
317.38095,1.9820011,0.39518148
318.97748,1.9856151,0.39464638
320.57397,1.9892478,0.39410803
322.17053,1.9928957,0.3935676
323.76712,1.9965539,0.39302695
325.3637,2.0002155,0.39248917
326.96036,2.003871,0.39195928
328.557,2.007508,0.39144567
330.1537,2.0111113,0.39096156
331.7504,2.014662,0.3905278
333.3471,2.0181394,0.39017588
334.94388,2.0215235,0.3899516
336.54065,2.0247989,0.38991895
338.13745,2.0279615,0.39016327
339.73428,2.0310295,0.39079237
341.33112,2.0340536,0.3919345
342.92798,2.0371306,0.3937311
344.52487,2.0404181,0.39632344
346.12177,2.0441418,0.3998319
347.71872,2.0485983,0.40432912
349.31567,2.054148,0.4098086
350.91266,2.061193,0.41615433
352.5096,2.070142,0.4231159
354.10663,2.0813632,0.4302979
355.70367,2.0951295,0.4371663
357.30072,2.1115692,0.44307825
358.89777,2.130626,0.44733
360.49484,2.152039,0.44921952
362.09198,2.1753492,0.4481129
363.68906,2.1999238,0.44350493
365.2862,2.2250078,0.4350656
366.88336,2.2497773,0.4226678
368.48053,2.2734034,0.40639368
370.0777,2.2951083,0.386523
371.6749,2.314214,0.36350647
373.27213,2.3301785,0.33792716
374.86932,2.3426173,0.3104586
376.46658,2.3513155,0.28181848
378.06384,2.356222,0.252727
379.6611,2.357439,0.22386861
381.25836,2.3552015,0.19585972
382.85568,2.3498492,0.16922516
384.45297,2.3418,0.144385
386.0503,2.3315177,0.121643245
387.64764,2.319485,0.10119267
389.24496,2.306178,0.08311873
390.84235,2.292044,0.067413405
392.4397,2.2774844,0.053989526
394.03705,2.262846,0.042699948
395.63446,2.2484126,0.033353444
397.23184,2.2344058,0.025734581
398.82922,2.2209868,0.019616948
400.42664,2.2082624,0.014776125
402.02405,2.1962938,0.0110003315
403.6215,2.1851027,0.008095943
405.21893,2.1746824,0.0058918903
406.81635,2.165005,0.0042410907
408.4138,2.1560273,0.0030202756
410.01123,2.1476994,0.0021285296
411.6087,2.1399658,0.0014848709
413.2062,2.1327717,0.0010256142
414.80365,2.1260645,7.02E-004
416.40112,2.1197946,4.75E-004
417.9986,2.1139166,3.19E-004
419.5961,2.10839,2.12E-004
421.19354,2.1031787,1.40E-004
422.79108,2.098251,9.17E-005
424.38858,2.0935793,5.95E-005
425.98602,2.0891395,3.83E-005
